,Model,Sampling_Method,PCA_Used,Normalized,One Hot Encoder,Number_of_Features,Accuracy_score,Precision_score,Recall_score
142,RandomForest,No,No,Yes,Yes,7 from Kbest,0.7863247863247863,0.8131868131868132,0.9024390243902439
143,XGBClassifier,No,No,Yes,Yes,7 from Kbest,0.7350427350427351,0.7865168539325843,0.8536585365853658
144,Support Vector Machine,No,No,Yes,Yes,7 from Kbest,0.8547008547008547,0.8350515463917526,0.9878048780487805
145,LogisticRegression,No,No,Yes,Yes,8 from RandomForest,0.8376068376068376,0.8061224489795918,1.0
146,DecisionTree,No,No,Yes,Yes,8 from RandomForest,0.811965811965812,0.7938144329896907,0.9746835443037974
147,RandomForest,No,No,Yes,Yes,8 from RandomForest,0.8205128205128205,0.8020833333333334,0.9746835443037974
148,XGBClassifier,No,No,Yes,Yes,8 from RandomForest,0.7948717948717948,0.7956989247311828,0.9367088607594937
149,Support Vector Machine,No,No,Yes,Yes,8 from RandomForest,0.8290598290598291,0.797979797979798,1.0
150,LogisticRegression,No,No,Yes,Yes,8 without duplicate,0.8632478632478633,0.8526315789473684,0.9759036144578314
151,DecisionTree,No,No,Yes,Yes,8 without duplicate,0.8290598290598291,0.8461538461538461,0.927710843373494
152,RandomForest,No,No,Yes,Yes,8 without duplicate,0.8376068376068376,0.872093023255814,0.9036144578313253
153,XGBClassifier,No,No,Yes,Yes,8 without duplicate,0.8205128205128205,0.8780487804878049,0.8674698795180723
154,Support Vector Machine,No,No,Yes,Yes,8 without duplicate,0.8632478632478633,0.845360824742268,0.9879518072289156
155,LogisticRegression,Smote,No,Yes,Yes,7 from Kbest,0.7901234567901234,0.7410714285714286,0.9431818181818182
156,DecisionTree,Smote,No,Yes,Yes,7 from Kbest,0.8333333333333334,0.7850467289719626,0.9545454545454546
157,RandomForest,Smote,No,Yes,Yes,7 from Kbest,0.8148148148148148,0.8295454545454546,0.8295454545454546
158,XGBClassifier,Smote,No,Yes,Yes,7 from Kbest,0.7901234567901234,0.8068181818181818,0.8068181818181818
159,Support Vector Machine,Smote,No,Yes,Yes,7 from Kbest,0.7839506172839507,0.7387387387387387,0.9318181818181818
160,LogisticRegression,Smote,No,Yes,Yes,8 from RandomForest,0.7962962962962963,0.7027027027027027,1.0
161,DecisionTree,Smote,No,Yes,Yes,8 from RandomForest,0.8148148148148148,0.7264150943396226,0.9871794871794872
162,RandomForest,Smote,No,Yes,Yes,8 from RandomForest,0.8580246913580247,0.8021978021978022,0.9358974358974359
163,XGBClassifier,Smote,No,Yes,Yes,8 from RandomForest,0.8333333333333334,0.8,0.8717948717948718
164,Support Vector Machine,Smote,No,Yes,Yes,8 from RandomForest,0.7777777777777778,0.6909090909090909,0.9743589743589743
165,LogisticRegression,Smote,No,Yes,Yes,8 without duplicate,0.7407407407407407,0.6666666666666666,0.9367088607594937
166,DecisionTree,Smote,No,Yes,Yes,8 without duplicate,0.7716049382716049,0.6909090909090909,0.9620253164556962
167,RandomForest,Smote,No,Yes,Yes,8 without duplicate,0.845679012345679,0.8,0.9113924050632911
168,XGBClassifier,Smote,No,Yes,Yes,8 without duplicate,0.8271604938271605,0.8,0.8607594936708861
169,Support Vector Machine,Smote,No,Yes,Yes,8 without duplicate,0.7222222222222222,0.6517857142857143,0.9240506329113924
170,LogisticRegression,Oversampling,No,Yes,Yes,7 from Kbest,0.7962962962962963,0.7333333333333333,0.9887640449438202
171,DecisionTree,Oversampling,No,Yes,Yes,7 from Kbest,0.8024691358024691,0.7394957983193278,0.9887640449438202
172,RandomForest,Oversampling,No,Yes,Yes,7 from Kbest,0.7962962962962963,0.8333333333333334,0.7865168539325843
173,XGBClassifier,Oversampling,No,Yes,Yes,7 from Kbest,0.7654320987654321,0.7931034482758621,0.7752808988764045
174,Support Vector Machine,Oversampling,No,Yes,Yes,7 from Kbest,0.8209876543209876,0.7631578947368421,0.9775280898876404
175,LogisticRegression,Oversampling,No,Yes,Yes,8 from RandomForest,0.7839506172839507,0.7355371900826446,0.967391304347826
176,DecisionTree,Oversampling,No,Yes,Yes,8 from RandomForest,0.8024691358024691,0.7419354838709677,1.0
177,RandomForest,Oversampling,No,Yes,Yes,8 from RandomForest,0.9320987654320988,0.9354838709677419,0.9456521739130435
178,XGBClassifier,Oversampling,No,Yes,Yes,8 from RandomForest,0.9259259259259259,0.9444444444444444,0.9239130434782609
179,Support Vector Machine,Oversampling,No,Yes,Yes,8 from RandomForest,0.7777777777777778,0.7333333333333333,0.9565217391304348
180,LogisticRegression,Oversampling,No,Yes,Yes,8 without duplicate,0.7777777777777778,0.7037037037037037,0.95
181,DecisionTree,Oversampling,No,Yes,Yes,8 without duplicate,0.7716049382716049,0.6972477064220184,0.95
182,RandomForest,Oversampling,No,Yes,Yes,8 without duplicate,0.9074074074074074,0.922077922077922,0.8875
183,XGBClassifier,Oversampling,No,Yes,Yes,8 without duplicate,0.9197530864197531,0.935064935064935,0.9
184,Support Vector Machine,Oversampling,No,Yes,Yes,8 without duplicate,0.7901234567901234,0.7254901960784313,0.925
185,LogisticRegression,No,No,Yes,No,6 from Kbest,0.8461538461538461,0.826530612244898,0.9878048780487805
186,DecisionTree,No,No,Yes,No,6 from Kbest,0.8205128205128205,0.8210526315789474,0.9512195121951219
187,RandomForest,No,No,Yes,No,6 from Kbest,0.7948717948717948,0.8222222222222222,0.9024390243902439
188,XGBClassifier,No,No,Yes,No,6 from Kbest,0.811965811965812,0.8260869565217391,0.926829268292683
189,Support Vector Machine,No,No,Yes,No,6 from Kbest,0.8376068376068376,0.8181818181818182,0.9878048780487805
190,LogisticRegression,No,No,Yes,No,8 from RandomForest,0.811965811965812,0.78,1.0
191,DecisionTree,No,No,Yes,No,8 from RandomForest,0.8034188034188035,0.7835051546391752,0.9743589743589743
192,RandomForest,No,No,Yes,No,8 from RandomForest,0.8205128205128205,0.8064516129032258,0.9615384615384616
193,XGBClassifier,No,No,Yes,No,8 from RandomForest,0.8034188034188035,0.8160919540229885,0.9102564102564102
194,Support Vector Machine,No,No,Yes,No,8 from RandomForest,0.811965811965812,0.78,1.0
195,LogisticRegression,Smote,No,Yes,No,6 from Kbest,0.7530864197530864,0.6666666666666666,0.9873417721518988
196,DecisionTree,Smote,No,Yes,No,6 from Kbest,0.808641975308642,0.7181818181818181,1.0
197,RandomForest,Smote,No,Yes,No,6 from Kbest,0.7592592592592593,0.7040816326530612,0.8734177215189873
198,XGBClassifier,Smote,No,Yes,No,6 from Kbest,0.7592592592592593,0.7272727272727273,0.810126582278481
199,Support Vector Machine,Smote,No,Yes,No,6 from Kbest,0.7592592592592593,0.6785714285714286,0.9620253164556962
200,LogisticRegression,Smote,No,Yes,No,8 from RandomForest,0.7839506172839507,0.7522123893805309,0.9239130434782609
201,DecisionTree,Smote,No,Yes,No,8 from RandomForest,0.7962962962962963,0.7706422018348624,0.9130434782608695
202,RandomForest,Smote,No,Yes,No,8 from RandomForest,0.8641975308641975,0.8571428571428571,0.9130434782608695
203,XGBClassifier,Smote,No,Yes,No,8 from RandomForest,0.8827160493827161,0.8842105263157894,0.9130434782608695
204,Support Vector Machine,Smote,No,Yes,No,8 from RandomForest,0.7901234567901234,0.7543859649122807,0.9347826086956522
205,LogisticRegression,Oversampling,No,Yes,No,6 from Kbest,0.7407407407407407,0.6581196581196581,0.9746835443037974
206,DecisionTree,Oversampling,No,Yes,No,6 from Kbest,0.7345679012345679,0.6636363636363637,0.9240506329113924
207,RandomForest,Oversampling,No,Yes,No,6 from Kbest,0.8950617283950617,0.8974358974358975,0.8860759493670886
208,XGBClassifier,Oversampling,No,Yes,No,6 from Kbest,0.8395061728395061,0.8117647058823529,0.8734177215189873
209,Support Vector Machine,Oversampling,No,Yes,No,6 from Kbest,0.7469135802469136,0.6696428571428571,0.9493670886075949
210,LogisticRegression,Oversampling,No,Yes,No,8 from RandomForest,0.8024691358024691,0.7542372881355932,0.967391304347826
211,DecisionTree,Oversampling,No,Yes,No,8 from RandomForest,0.7901234567901234,0.75,0.9456521739130435
212,RandomForest,Oversampling,No,Yes,No,8 from RandomForest,0.9506172839506173,0.9772727272727273,0.9347826086956522
213,XGBClassifier,Oversampling,No,Yes,No,8 from RandomForest,0.9259259259259259,0.9761904761904762,0.8913043478260869
214,Support Vector Machine,Oversampling,No,Yes,No,8 from RandomForest,0.7962962962962963,0.7757009345794392,0.9021739130434783
